ru;en;kcal;catRu;catEn;gr
Блюдо_RU;Dish_EN;Ккал;Категория_RU;Category_EN;gr
Салаты:;Salads:;;;;
Закуска:;Starters:;;;;
Горячая Закуска:;Hot Starters:;;;;
Холодная Закуска:;Cold Starters:;;;;
Супы:;Soups:;;;;
Горячее:;Main Courses:;;;;
Гарнир:;Side Dishes:;;;;
Завтрак:;Breakfast:;;;;
Шашлык:;BBQ:;;;;
Авокадо;Avocado;43;Завтрак;Breakfast;30
Авокадо с Лососем;Avocado with Salmon;185;Завтрак;Breakfast;
Аджапсандали;Ajapsandali;85;Горячее;Main Courses;150
Азиатский Салат с Чукой;Asian Salad with Chuka Seaweed;70;Салаты;Salads;150
Айва Запечённая;Baked Quince;50;Завтрак;Breakfast;120
Айва Запечённая с Сухофруктами;Quince Baked with Dried Fruits;208;Завтрак;Breakfast;100
Айва Печеная в Мёде;Quince Baked in Honey;90;Завтрак;Breakfast;110
Ананас;Pineapple;50;Завтрак;Breakfast;60
Армянский Салат;Armenian Salad;110;Салаты;Salads;150
Ассорти из Фруктов;Fruit Assortment;60;Завтрак;Breakfast;
Баклажан Кумпир с Курицей;Eggplant Kumpir with Chicken;160;Горячее;Main Courses;150
Баклажан с Ягнёнком по-Армянски;Eggplant with Lamb Armenian-style;170;Горячая Закуска;Hot Starters;100
Баклажаны Запеченные под соусом Баже;Baked Eggplants with Bazhe Sauce;120;Салаты;Salads;
Баклажаны по-Корейски;Korean-style Eggplant;90;Салаты;Salads;120
Баклажаны с Помидорами и Пармезаном;Eggplant with Tomatoes and Parmesan;170;Салаты;Salads;
Банан;Banana;95;Завтрак;Breakfast;
Барабулька Жареная;Fried Red Mullet;250;Горячее;Main Courses;150
Бастурма;Basturma;240;Закуска;Starters;80
Батат Запеченный;Baked Sweet Potato;90;Гарнир;Side Dishes;
Беби Кальмары Фаршированные в Томатном Соусе;Baby Squid Stuffed in Tomato Sauce;130;Горячее;Main Courses;
Безглютеновая Булка;Gluten Free Bun;157;Завтрак;Breakfast;15
Безглютеновая Булка с Псиллиумом;Gluten-free Bun with Psyllium;157;Завтрак;Breakfast;
Безглютеновый Сэндвич с Цыпленком;Gluten-Free Chicken Sandwich;80;Завтрак;Breakfast;200
Белая Спаржа;White Asparagus;20;Гарнир;Side Dishes;120
Белая Фасоль и Кинза Хумус;White Bean and Cilantro Hummus;150;Завтрак;Breakfast;
Белая Фасоль Тушеная с Томатами;White Beans Stewed with Tomatoes;130;Гарнир;Side Dishes;
Белковый Омлет;White Omelet;60;Завтрак;Breakfast;
Белковый Омлет с Сыром и Зеленью;Egg White Omelet with Cheese and Greens;168;Завтрак;Breakfast;
Белковый Омлет с Томатом;White Omelette with Tomato;90;Завтрак;Breakfast;
Белковый Омлет с Томатом и Зеленью;White Omelet with Greens;115;Завтрак;Breakfast;150
Белковый Омлет со Шпинатом;Protein Omelette with Spinach;140;Завтрак;Breakfast;130
Бельгийские Вафли;Belgian Waffles;320;Завтрак;Breakfast;
Бельгийские Вафли с Творожным Муссом и Протёртой Малиной;Belgian Waffles with Curd Mousse and Raspberry Puree;271;Завтрак;Breakfast;70
Бефстроганов;Beef Stroganoff;190;Горячее;Main Courses;160
Бефстроганов из Говядины;Beef Stroganoff;190;Горячее;Main Courses;160
Бефстроганов из Курицы;Chicken Stroganoff;175;Горячее;Main Courses;
Бефстроганов из Телятины;Veal Beef Stroganoff;210;Горячее;Main Courses;
Бефстроганов из Телячьей Вырезки;Beef Stroganoff with Veal Tenderloin;190;Горячее;Main Courses;
Биточки из Телятины;Veal Cutlets;160;Горячее;Main Courses;120
Биточки Куриные;Chicken Meatballs;140;Горячее;Main Courses;150
Биточки Рыбные;Fish Cutlets;110;Горячее;Main Courses;140
Бифштекс Рубленный;Chopped Beefsteak;210;Горячее;Main Courses;
Блинчики;Crepes;220;Завтрак;Breakfast;60
Блинчики Гречневые;Buckwheat Pancakes;190;Завтрак;Breakfast;80
Блинчики с Мясом;Pancake Rolls with Meat;220;Завтрак;Breakfast;80
Блинчики с Рикоттой;Ricotta Pancakes;184;Завтрак;Breakfast;120
Блинчики с Творогом;Pancakes with Cottage Cheese;200;Завтрак;Breakfast;40
Блинчики с Чиа;Crepes with Chia Seeds;195;Завтрак;Breakfast;50
Блинчики Фаршированные Кроликом и Белыми Грибами;Pancakes Stuffed with Rabbit and Porcini Mushrooms;250;Горячая Закуска;Hot Starters;
Борщ;Borscht;90;Супы;Soups;200
Борщ из Кислой Капусты с Телятиной;Sauerkraut Borscht with Veal;;Супы;Soups;
Борщ с Говядиной; Borscht with Beef;100;Супы;Soups;200
Борщ с Телятиной;Borscht with Veal;80;Супы;Soups;200
Борщ с Телятиной и Хрящами;Borscht with Veal and Cartilage;95;Супы;Soups;200
Ботвинья Холодная на Квасе;Botvinya Cold Soup with Kvass;40;Супы;Soups;200
Боттарга Каталана;Bottarga Catalana;250;Горячее;Main Courses;
Боул Фруктовый;Fruit Bowl;70;Завтрак;Breakfast;150
Брокколи Гриль;Grilled Broccoli;;Гарнир;Side Dishes;
Брокколи Запечённая;Baked Broccoli;50;Гарнир;Side Dishes;120
Брокколи на Пару;Steamed Broccoli;27;Гарнир;Side Dishes;
Брокколини;Broccolini;35;Гарнир;Side Dishes;100
Брускетта Овощная;Bruschetta Vegetable;145;Завтрак;Breakfast;45
Брускетта с Форшмаком на Бородинском Хлебе;Bruschetta with Forshmak on Borodinsky Bread;230;Закуска;Starters;80
Буженина из Индейки;Roast Turkey Ham;140;Гарнир;Side Dishes;40
Буженина из Цыпленка;Roast Chicken Ham;160;Завтрак;Breakfast;40
Булгур с Овощами;Bulgur with Vegetables;110;Гарнир;Side Dishes;
Бульон из Индейки с Домашними Пельменями;Turkey Broth with Homemade Dumplings;110;Супы;Soups;200
Бульон из Индейки с Пельменями;Turkey Broth with Dumplings;110;Супы;Soups;200
Бульон Кудрявый;Curly Broth;40;Супы;Soups;200
Бульон Кудрявый с Зеленью;Curly Noodle Bouillon with Herbs;40;Супы;Soups;200
Бульон Куриный с Пуляркой;Chicken Bouillon with Poulet;36;Супы;Soups;200
Бульон Куриный с Фрикадельками;Chicken Broth with Meatballs;40;Супы;Soups;200
Бульон с Пельменями;Broth with Dumplings;110;Супы;Soups;200
Бульон с Рисом и Зеленью;Bouillon with Rice and Herbs;30;Супы;Soups;200
Бульон с Рисом и Перепелиным Яйцом;Broth with Rice and Quail Egg;45;Супы;Soups;200
Бульон с Фрикадельками;Broth with Meatballs;55;Супы;Soups;200
Буррата с Рукколой;Burrata with Rucola Salad;256;Салаты;Salads;
Буррата с Соусом Песто и Томатами;Burrata with Pesto Sauce and Tomatoes;215;Салаты;Salads;
Бэби Картофель с Розмарином;Baby Potatoes with Rosemary;90;Гарнир;Side Dishes;100
Вагури из Ягненка;Vaguri with Lamb;190;Горячая Закуска;Hot Starters;
Вафли;Waffles;320;Завтрак;Breakfast;
Веер из Баклажан с Томатной Сальсой;Eggplant Fan with Tomato Salsa;55;Горячая Закуска;Hot Starters;
Вермишель Жареная;Fried Vermicelli;170;Гарнир;Side Dishes;100
Винегрет;Vinaigrette Russian Salad;90;Салаты;Salads;150
Вобла;Vobla;150;Закуска;Starters;100
Ганфан;Ganfan;180;Горячее;Main Courses;180
Гаспачо;Gazpacho;45;Супы;Soups;200
Гаспачо с Крабом;Gazpacho with Crab;70;Супы;Soups;200
Глазунья с Томатом;Fried Eggs with Tomatoes;125;Завтрак;Breakfast;120
Говядина Запеченная с Помидорами и Сыром;Beef Baked with Tomatoes and Cheese;250;Горячее;Main Courses;
Говядина Обжаренная в Яйце;Beef Fried with Egg;240;Горячее;Main Courses;
Говядина по-Азиатски;Beef Asian-style;149;Горячее;Main Courses;200
